library,live,toBeta
pyyaml,5.1.2,5.3
pyzmq,18.0.1,19.0.0
qtconsole,4.5.5,4.7.5
qtpy,DNE,1.9.0
quantecon,DNE,0.4.8
r-abind,1.4_5,DNE
r-askpass,DNE,1.1
r-assertthat,0.2.0,0.2.1
r-backports,1.1.2,1.1.5
r-base,3.4.1,3.6.3
r-bh,1.66.0_1,1.72.0_3
r-bindr,0.1.1,DNE
r-bindrcpp,0.2,DNE
r-bit,1.1_12,1.1_15.2
r-bit64,0.9_5,0.9_7
r-blob,1.1.1,1.2.1
r-brew,DNE,1.0_6
r-broom,0.4.4,0.5.5
r-callr,DNE,3.4.2
r-caret,6.0_79,6.0_86
r-class,7.3_14,7.3_15
r-cli,1.0.0,2.0.2
r-clipr,DNE,0.7.0
r-clisymbols,DNE,1.2.0
r-coda,DNE,0.19_3
r-codetools,0.2_15,0.2_16
r-colorspace,1.3_2,1.4_1
r-commonmark,DNE,1.7
r-config,0.2,DNE
r-covr,DNE,3.5.0
r-crosstalk,DNE,1.1.0.1
r-curl,3.2,4.3
r-cvst,0.2_1,DNE
r-data.table,DNE,1.12.8
r-dbi,1.0.0,1.1.0
r-dbplyr,1.2.1,1.4.2
r-ddalpha,1.3.3,DNE
r-deoptimr,1.0_8,DNE
r-desc,DNE,1.2.0
r-devtools,1.13.5,2.2.2
r-dichromat,2.0_0,DNE
r-digest,0.6.15,0.6.25
r-dimred,0.1.0,DNE
r-dplyr,0.7.4,0.8.5
r-drr,0.0.3,DNE
r-dt,DNE,0.12
r-ellipsis,DNE,0.3.0
r-evaluate,0.10.1,0.14
r-extrafont,DNE,0.17
r-extrafontdb,DNE,1.0
r-fansi,DNE,0.4.1
r-farver,DNE,2.0.3
r-fastmap,DNE,1.0.1
r-fastmatch,DNE,1.1_0
r-forcats,0.3.0,0.5.0
r-foreach,1.4.4,1.4.8
r-forecast,8.2,8.12
r-foreign,0.8_67,DNE
r-fracdiff,1.4_2,1.5_1
r-fs,DNE,1.3.2
r-generics,DNE,0.0.2
r-geometry,0.3_6,DNE
r-ggplot2,2.2.1,3.3.0
r-ggrepel,DNE,0.8.2
r-gh,DNE,1.1.0
r-git2r,0.21.0,0.26.1
r-glue,1.2.0,1.3.2
r-gower,0.1.2,0.2.1
r-gtable,0.2.0,0.3.0
r-haven,1.1.1,2.2.0
r-hexbin,1.27.2,1.28.1
r-highr,0.6,0.8
r-hms,0.3,0.5.3
r-htmltools,0.3.6,0.5.0
r-htmlwidgets,1.0,1.5.1
r-httpuv,1.3.6.2,1.5.2
r-httr,1.3.1,1.4.1
r-ini,DNE,0.3.1
r-ipred,0.9_6,0.9_9
r-irdisplay,0.4.4,0.7
r-irkernel,0.8.11,1.1.1
r-isoband,DNE,0.2.0
r-isocodes,DNE,2020.03.16
r-iterators,1.0.9,1.0.12
r-jsonlite,1.5,1.6.1
r-kernlab,0.9_25,DNE
r-kernsmooth,2.23_15,2.23_16
r-knitr,1.20,1.28
r-later,DNE,1.0.0
r-lattice,0.20_34,0.20_40
r-lava,1.6.1,1.6.7
r-lazyeval,0.2.1,0.2.2
r-lifecycle,DNE,0.2.0
r-lmtest,0.9_35,0.9_37
r-magic,1.5_6,DNE
r-markdown,0.8,1.1
r-mass,7.3_48,7.3_51.5
r-matrix,1.2_14,1.2_18
r-mgcv,DNE,1.8_31
r-mime,0.5,0.9
r-mnormt,1.5_5,DNE
r-modelmetrics,1.1.0,1.2.2.2
r-modelr,0.1.2,0.1.6
r-modeltools,DNE,0.2_23
r-munsell,0.4.3,0.5.0
r-network,DNE,1.16.0
r-nlme,3.1_131,3.1_145
r-nlp,DNE,0.2_0
r-nnet,7.3_12,7.3_13
r-numderiv,2016.8_1,2016.8_1.1
r-nycflights13,0.2.2,1.0.1
r-openssl,1.0.1,1.4.1
r-openxlsx,DNE,4.1.5
r-pbdzmq,0.3_2,0.3_3
r-pillar,1.2.2,1.4.3
r-pkgbuild,DNE,1.0.6
r-pkgconfig,2.0.1,2.0.3
r-pkgload,DNE,1.0.2
r-plogr,0.1_1,0.2.0
r-plyr,1.8.4,1.8.6
r-praise,DNE,1.0.0
r-prettyunits,1.0.2,1.1.1
r-proc,DNE,1.16.1
r-processx,DNE,3.4.2
r-prodlim,2018.04.18,2019.11.13
r-progress,DNE,1.2.2
r-promises,DNE,1.1.0
r-proxyc,DNE,0.1.5
r-ps,DNE,1.3.2
r-psych,1.7.8,DNE
r-purrr,0.2.4,0.3.3
r-quadprog,1.5_5,1.5_8
r-quanteda,DNE,2.1.0
r-quantmod,DNE,0.4_16
r-r6,2.2.2,2.4.1
r-randomforest,4.6_12,4.6_14
r-rcmdcheck,DNE,1.3.3
r-rcpp,0.12.15,1.0.4
r-rcpparmadillo,0.7.800.2.0,0.9.850.1.0
r-rcppeigen,DNE,0.3.3.7.0
r-rcppparallel,DNE,5.0.2
r-rcpproll,0.2.2,DNE
r-rcurl,1.95_4.8,1.98_1.2
r-readr,1.1.1,1.3.1
r-readxl,1.1.0,1.3.1
r-recipes,0.1.2,0.1.9
r-remotes,DNE,2.1.1
r-repr,0.13,1.1.0
r-reprex,DNE,0.3.0
r-reshape2,1.4.3,1.4.4
r-reticulate,DNE,1.16
r-rex,DNE,1.1.2
r-rlang,0.2.0,0.4.5
r-rmarkdown,1.8,2.3
r-robustbase,0.92_7,DNE
r-rodbc,DNE,1.3_16
r-roxygen2,DNE,7.1.0
r-rpart,4.1_13,4.1_15
r-rspectra,DNE,0.16_0
r-rsqlite,2.0,2.2.0
r-rstudioapi,0.7,0.11
r-rttf2pt1,DNE,1.3.8
r-rversions,DNE,2.0.1
r-rvest,0.3.2,0.3.5
r-scales,0.5.0,1.1.0
r-selectr,0.3_1,0.4_2
r-sessioninfo,DNE,1.1.1
r-sfsmisc,1.1_1,DNE
r-shiny,1.0.5,1.5.0
r-slam,DNE,0.1_47
r-sna,DNE,2.5
r-snowballc,DNE,0.7.0
r-sourcetools,0.1.6,0.1.7
r-spacyr,DNE,1.2.1
r-sparklyr,0.7.0,DNE
r-squarem,2017.10_1,2020.2
r-statnet.common,DNE,4.3.0
r-stopwords,DNE,2.0
r-stringi,1.1.7,1.4.6
r-stringr,1.3.0,1.4.0
r-survival,2.40_1,3.1_11
r-sys,DNE,3.3
r-testthat,DNE,2.3.2
r-tibble,1.4.2,2.1.3
r-tidyr,0.8.1,1.0.2
r-tidyselect,0.2.4,1.0.0
r-tidyverse,1.1.1,1.3.0
r-timedate,3012.100,3043.102
r-tinytex,DNE,0.20
r-tm,DNE,0.7_7
r-topicmodels,DNE,0.2_11
r-tseries,0.10_40,0.10_47
r-ttr,DNE,0.23_6
r-ukbabynames,DNE,0.1.1
r-urca,DNE,1.3_0
r-usethis,DNE,1.5.1
r-utf8,1.1.3,1.1.4
r-uuid,0.1_2,0.1_4
r-vctrs,DNE,0.2.4
r-whisker,0.3_2,0.4
r-withr,2.1.1,2.1.2
r-xfun,DNE,0.12
r-xml,DNE,3.99_0.3
r-xml2,1.1.1,1.3.2
r-xmlschema,DNE,0.8
r-xopen,DNE,1.0.0
r-xtable,1.8_2,1.8_4
r-xts,DNE,0.12_0
r-yaml,2.1.18,2.2.1
r-zeallot,DNE,0.1.0
r-zip,DNE,2.0.4
r-zoo,1.8_1,1.8_7
rapidfuzz,DNE,0.9.1
requests,2.22.0,2.23.0
retrying,DNE,1.3.3
ripgrep,11.0.2,12.1.1
rise,5.5.1,5.6.1
rpy2,DNE,3.3.2
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
scikit-image,0.15.0,0.17.2
scikit-learn,0.21.2,0.23.1
scipy,1.3.0,1.5.1
seaborn,0.9.0,0.10.1
seaborn-base,DNE,0.10.1
sed,DNE,4.7
sentry-sdk,DNE,0.9.0
setuptools,41.2.0,46.0.0
sip,4.19.8,DNE
six,1.12.0,1.14.0
sortedcontainers,DNE,2.1.0
soupsieve,1.9.3,1.9.4
spectra,DNE,0.0.11
spectral,0.19,0.21
sqlite,3.29.0,3.30.1
statsmodels,0.10.1,0.11.1
sympy,1.4,1.6.1
tblib,DNE,1.6.0
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
textblob,DNE,0.15.3
threadpoolctl,DNE,2.1.0
tifffile,DNE,2020.6.3
