library,live,toBeta
r-boot,1.3_23,1.3_25
r-bridgesampling,0.7_2,1.0_0
r-brms,2.10.0,2.13.3
r-broom,0.5.2,0.5.5
r-callr,3.3.1,3.4.2
r-car,3.0_3,3.0_8
r-cardata,3.0_2,3.0_4
r-caret,6.0_84,6.0_86
r-catools,1.17.1.2,1.18.0
r-checkmate,1.9.4,2.0.0
r-classint,0.4_1,0.4_3
r-cli,1.1.0,2.0.2
r-colourvalues,DNE,0.3.5
r-covr,DNE,3.5.0
r-crosstalk,1.0.0,1.1.0.1
r-curl,4.0,4.3
r-data.table,1.12.4,1.12.8
r-dbi,1.0.0,1.1.0
r-deldir,0.1_23,0.1_25
r-devtools,2.0.2,2.2.2
r-diagrammer,1.0.1,1.0.6.1
r-dials,0.0.3,0.0.8
r-digest,0.6.20,0.6.25
r-dplyr,0.8.3,0.8.5
r-drat,0.1.5,0.1.7
r-dt,0.9,0.12
r-e1071,1.7_2,1.7_3
r-ellipsis,0.2.0.1,0.3.0
r-fansi,0.4.0,0.4.1
r-farver,1.1.0,2.0.3
r-fastmap,DNE,1.0.1
r-fields,9.8_6,10.3
r-flexdashboard,0.5.1.1,0.5.2
r-forcats,0.4.0,0.5.0
r-foreach,1.4.7,1.5.0
r-forecast,8.9,8.12
r-foreign,0.8_72,0.8_76
r-forge,0.2.0,DNE
r-fracdiff,1.4_2,1.5_1
r-fs,1.3.1,1.4.2
r-future,1.14.0,1.18.0
r-gdalutils,2.0.1.14,DNE
r-gdtools,0.2.0,0.2.2
r-geojsonsf,DNE,2.0.0
r-ggally,1.4.0,2.0.0
r-gganimate,1.0.3,1.0.6
r-ggdist,DNE,2.1.1
r-ggforce,0.3.1,0.3.2
r-ggplot2,3.2.1,3.3.2
r-ggraph,2.0.0,2.0.3
r-ggrepel,0.8.1,0.8.2
r-ggridges,0.5.1,0.5.2
r-ggstance,0.3.3,DNE
r-gh,1.0.1,1.1.0
r-glmnet,2.0_18,4.0_2
r-globals,0.12.4,0.12.5
r-glue,1.3.1,1.4.1
r-googlepolylines,DNE,0.7.2
r-gpfit,DNE,1.0_8
r-gplots,3.0.1.1,3.0.4
r-graphlayouts,0.5.0,0.7.0
r-grpreg,3.2_1,3.3.0
r-gtools,3.8.1,3.8.2
r-hardhat,DNE,0.1.4
r-haven,2.1.1,2.2.0
r-hdinterval,0.2.0,0.2.2
r-hexbin,1.27.3,1.28.1
r-highlight,0.4.7.2,0.5.0
r-hms,0.5.1,0.5.3
r-htmltools,0.3.6,0.5.0
r-htmlwidgets,1.3,1.5.1
r-igraph,1.2.4.1,1.2.5
r-infer,0.5.0,0.5.2
r-irkernel,1.0.2,1.1
r-isoband,DNE,0.2.0
r-isocodes,2019.04.22,2020.03.16
r-jpeg,0.1_8,0.1_8.1
r-jsonify,DNE,1.2.1
r-jsonlite,1.6,1.7.0
r-keras,2.2.4.1,2.3.0.0
r-kernsmooth,2.23_15,2.23_16
r-knitr,1.25,1.29
r-later,0.8.0,1.0.0
r-lattice,0.20_38,0.20_40
r-lava,1.6.6,1.6.7
r-leafem,0.0.1,0.1.1
r-leaflet,2.0.2,2.0.3
r-leaflet.providers,DNE,1.9.0
r-leafpop,0.0.1,0.0.5
r-leaps,3.0,3.1
r-lhs,DNE,1.0.2
r-lifecycle,DNE,0.2.0
r-lintr,2.0.0,2.0.1
r-listenv,0.7.0,0.8.0
r-lme4,1.1_21,1.1_23
r-lobstr,DNE,1.1.1
r-loo,2.1.0,2.3.0
r-lubridate,1.7.4,1.7.9
r-lwgeom,DNE,0.1_7
r-magick,2.2,2.4.0
r-mapdeck,DNE,0.3.3
r-mapedit,0.5.0,0.6.0
r-maptools,0.9_5,1.0_1
r-mapview,2.7.0,2.7.8
r-mass,7.3_51.4,7.3_51.5
r-matrix,1.2_17,1.2_18
r-matrixstats,0.55.0,0.56.0
r-mcmc,0.9_6,0.9_7
r-mcmcpack,1.4_4,1.4_8
r-mgcv,1.8_29,1.8_31
r-mime,0.7,0.9
r-modelmetrics,1.2.2,1.2.2.2
r-modelr,0.1.5,0.1.6
r-modeltools,0.2_22,0.2_23
r-mvnfast,0.2.5,DNE
r-mvtnorm,DNE,1.1_1
r-network,1.15,1.16.0
r-nhanes,DNE,2.1.0
r-nlme,3.1_141,3.1_148
r-nloptr,1.2.1,1.2.2.2
r-nnet,7.3_12,7.3_13
r-openxlsx,4.1.0.1,4.1.5
r-parsnip,0.0.3.1,0.1.2
r-pbkrtest,0.4_7,0.4_8.6
r-pillar,1.4.2,1.4.3
r-pkgbuild,1.0.5,1.0.6
r-pkgconfig,2.0.2,2.0.3
r-pkgdown,1.4.1,1.5.1
r-plotrix,3.7_6,3.7_8
r-pls,2.7_1,2.7_2
r-plyr,1.8.4,1.8.6
r-pool,0.1.4.2,0.1.4.3
r-prettyunits,1.0.2,1.1.1
r-proc,1.15.3,1.16.1
r-processx,3.4.1,3.4.2
r-prodlim,2018.04.18,2019.11.13
r-promises,1.1.0,1.1.1
r-proxyc,DNE,0.1.5
r-ps,1.3.0,1.3.2
r-purrr,0.3.2,0.3.3
r-quadprog,1.5_7,1.5_8
r-quanteda,1.4.3,2.1.0
r-quantmod,0.4_15,0.4_16
r-quantreg,5.51,5.55
r-r.cache,DNE,0.14.0
r-r.methodss3,1.7.1,1.8.0
r-r.oo,1.22.0,1.23.0
r-r.utils,2.9.0,2.9.2
r-r2d3,0.2.3,DNE
r-r2jags,0.5_7,0.6_1
r-r6,2.4.0,2.4.1
r-rapidjsonr,DNE,1.2.0
r-raster,3.0_7,3.3_7
r-rcpp,1.0.2,1.0.5
r-rcpparmadillo,0.9.700.2.0,0.9.900.1.0
r-rcppeigen,0.3.3.5.0,0.3.3.7.0
r-rcppparallel,4.4.4,5.0.2
r-rcurl,1.95_4.12,1.98_1.2
r-recipes,0.1.6,0.1.9
r-rematch2,2.1.0,2.1.2
r-remotes,2.1.0,2.1.1
r-repr,1.0.1,1.1.0
r-reshape2,1.4.3,1.4.4
r-reticulate,1.13,1.16
r-rgdal,1.4_4,1.4_8
r-rgeos,0.5_1,0.5_3
r-rgexf,0.15.3,0.16.0
r-rgooglemaps,1.4.4,1.4.5.3
r-rjags,4_9,4_10
r-rlang,0.4.0,0.4.7
r-rmarkdown,1.14,2.3
r-rocr,1.0_7,1.0_11
r-rodbc,1.3_15,1.3_16
r-rook,1.1_1,DNE
r-roxygen2,6.1.1,7.1.1
r-rsample,0.0.5,0.0.7
r-rsconnect,0.8.15,0.8.16
r-rspectra,0.15_0,0.16_0
r-rsqlite,2.1.2,2.2.0
r-rstan,2.19.2,2.21.1
r-rstanarm,2.18.2,2.19.3
r-rstantools,2.0.0,2.1.1
r-rstudioapi,0.10,0.11
r-rticles,0.10,0.14
r-rttf2pt1,1.3.7,1.3.8
r-rversions,DNE,2.0.1
r-rvest,0.3.4,0.3.5
r-satellite,1.0.1,1.0.2
r-scales,1.0.0,1.1.0
r-selectr,0.4_1,0.4_2
r-servr,0.15,0.17
r-sf,0.7_6,0.9_3
r-sfheaders,DNE,0.2.2
r-shape,DNE,1.4.4
r-shiny,1.3.2,1.5.0
r-shinyjs,1.0,1.1
r-slam,0.1_45,0.1_47
r-sna,2.4,2.5
r-snowballc,0.6.0,0.7.0
r-sp,1.3_1,1.4_2
r-spacyr,1.2,1.2.1
r-spam,2.3_0,2.5_1
r-sparklyr,1.0.2,DNE
r-sparsem,1.77,1.78
r-spatialwidget,DNE,0.2.2
r-spdata,0.3.2,0.3.8
r-spdep,1.1_3,1.1_5
r-squarem,2017.10_1,2020.2
r-stanheaders,2.19.0,2.21.0_5
r-stars,0.3_1,0.4_1
r-statmod,DNE,1.4.34
r-stopwords,1.0,2.0
r-stringdist,0.9.5.2,0.9.5.5
r-stringi,1.4.3,1.4.6
r-styler,1.1.1,1.3.2
r-survival,2.44_1.1,3.1_11
r-svglite,1.2.2,1.2.3.2
r-svunit,0.7_12,1.0.3
r-systemfonts,0.1.1,0.2.3
r-tensorflow,1.14.0,2.2.0
r-testthat,2.2.1,2.3.2
r-threejs,0.3.1,0.3.3
r-tidybayes,1.1.0,2.1.1
r-tidygraph,1.1.2,1.2.0
