library,live,toBeta
prompt_toolkit,DNE,3.0.3
protobuf,3.10.0,3.12.3
psutil,5.6.3,5.7.2
psycopg2-binary,DNE,2.8.5
py-lief,0.9.0,0.10.1
py-opencv,3.4.7,4.2.0
pyarrow,DNE,0.17.1
pycurl,7.43.0.2,7.43.0.4
pygeos,DNE,0.7.1
pygments,2.4.2,2.5.2
pykdtree,1.3.1,DNE
pykerberos,DNE,1.2.1
pyopenssl,19.0.0,19.1.0
pyparsing,2.4.2,2.4.7
pyproj,1.9.6,2.6.1.post1
pyqtchart,DNE,5.12
pyrsistent,0.15.4,0.15.7
pysal,DNE,1.14.4.post1
pysocks,1.7.0,1.7.1
pytables,3.6.0,3.6.1
python,3.7.3,3.7.6
python-dateutil,2.8.0,2.8.1
python-graphviz,DNE,0.14.1
python-json-logger,DNE,0.1.11
python-libarchive-c,2.8,2.9
python_abi,DNE,3.7
pytz,2019.3,2020.1
pywavelets,1.0.3,1.1.1
pyyaml,5.1.2,5.3.1
pyzmq,18.0.2,18.1.1
qtconsole,4.5.5,4.7.5
qtpy,DNE,1.9.0
quantecon,0.4.5,0.4.8
rapidfuzz,DNE,0.9.1
rasterio,1.0.25,1.1.5
rasterstats,0.13.1,0.14.0
reportlab,DNE,3.5.45
requests-kerberos,DNE,0.12.0
requests-oauthlib,DNE,1.2.0
requests-toolbelt,DNE,0.9.1
requests_ntlm,DNE,1.1.0
retrying,DNE,1.3.3
ridge-map,DNE,0.0.2
ripgrep,11.0.2,12.1.1
rise,5.5.1,5.6.1
rtree,0.8.3,0.9.4
ruamel.yaml,DNE,0.16.6
ruamel.yaml.clib,DNE,0.2.0
ruamel_yaml,0.15.71,0.15.80
scikit-image,0.16.1,0.17.2
scikit-learn,0.21.3,0.23.1
scipy,1.3.1,1.5.1
seaborn,0.9.0,0.10.1
seaborn-base,DNE,0.10.1
secretstorage,DNE,3.1.2
sentinelsat,DNE,0.13
sentry-sdk,DNE,0.9.0
setuptools,41.0.1,45.1.0
shapely,1.6.4,1.7.0
simplegeneric,0.8.1,DNE
simplejson,3.16.0,3.17.2
six,1.12.0,1.14.0
sortedcontainers,DNE,2.2.2
soupsieve,1.9.4,2.0.1
spectral,0.20,0.21
splot,DNE,1.1.3
spreg,DNE,1.1.1
sqlite,3.29.0,3.30.1
srtm-py,DNE,0.3.5
statsmodels,0.10.1,0.11.1
sympy,1.4,1.6.1
tbb,DNE,2018.0.5
tblib,DNE,1.6.0
tensorboard,1.14.0,DNE
tensorflow,1.14.0,DNE
tensorflow-base,1.14.0,DNE
tensorflow-estimator,1.14.0,DNE
termcolor,1.1.0,DNE
terminado,0.8.2,0.8.3
testpath,0.4.2,0.4.4
threadpoolctl,DNE,2.1.0
tifffile,DNE,2020.6.3
tiledb,DNE,1.7.0
tk,8.6.9,8.6.10
tqdm,4.32.2,4.42.0
traitlets,4.3.2,4.3.3
traittypes,DNE,0.2.1
tree-page-graphics,0.0.1,0.1.0
typing_extensions,DNE,3.7.4.2
tzcode,2019a,2020a
unixodbc,DNE,2.3.7
urllib3,1.25.3,1.25.7
vega,2.6.0,3.4.0
wcwidth,0.1.7,0.1.8
werkzeug,0.16.0,DNE
wheel,0.33.4,0.34.1
wrapt,1.11.2,DNE
xarray,0.14.0,0.16.0
xmlschema,DNE,1.2.2
xorg-libxpm,DNE,3.5.13
xorg-libxt,DNE,1.1.5
xz,5.2.4,5.2.5
yaml,0.1.7,0.2.2
zict,DNE,2.0.0
zipp,DNE,2.1.0
zstd,1.4.0,1.4.4
